"id","title","slug","learning_module_id","image"
1532,"Schmerzen & Warnzeichen: wann abklären lassen? (Orientierung)","schmerzen-warnzeichen-wann-abklaeren-lassen-orientierung","kw_schmerz_03_warnzeichen",
1533,"Wann zum Arzt? Warnzeichen, Dauer, Risiko – Orientierung","wann-zum-arzt-warnzeichen-dauer-risiko-orientierung","kw_symp_01_wann_arzt",
1534,"Fieber & Infekt: einordnen, Hausmittel vs. Abklärung, Alarmzeichen","fieber-und-infekt-einordnen-hausmittel-abklaerung-alarmzeichen","kw_symp_02_fieber_infekt",
1535,"Brustschmerz, Atemnot, starke Schmerzen: Sofortzeichen richtig verstehen","brustschmerz-atemnot-starke-schmerzen-sofortzeichen","kw_symp_03_schmerz_brust_atem",
1536,"MRT, CT, Röntgen: Unterschiede, wofür verwendet, Strahlung – Orientierung","mrt-ct-roentgen-unterschiede-orientierung","kw_unters_01_mrt_ct_roentgen",
1537,"Befund-Sprache verstehen: häufige Begriffe, „unklar“, „auffällig“ – Orientierung","befund-sprache-verstehen-haeufige-begriffe-unklar-auffaellig-orientierung","kw_unters_02_befund_sprache",
1538,"Kontrastmittel: wozu, Risiken, wann Vorsicht (Orientierung)","kontrastmittel-wozu-risiken-wann-vorsicht-orientierung","kw_unters_03_kontrastmittel",
1539,"Wie Alkohol wirkt: Körper, Gehirn, Schlaf, Abbau – Einordnung","wie-alkohol-wirkt-koerper-gehirn-schlaf-abbau-einordnung","ls_alk_01_wirkung",
1540,"Gesundheitsrisiken: Blutdruck, Krebs, Leber – was Evidenz sagt","gesundheitsrisiken-blutdruck-krebs-leber-evidenz","ls_alk_02_risiko_gesundheit",
1541,"Reduzieren statt Verbot: Strategien, alkoholfreie Tage, Warnsignale","reduzieren-statt-verbot-strategien-alkoholfreie-tage-warnsignale","ls_alk_03_reduktion",
1542,"Ziele setzen & planen: realistisch starten, kleine Schritte, Umsetzungshilfen","ziele-setzen-planen-realistisch-kleine-schritte-umsetzungshilfen","ls_beh_01_ziele_planung",
1543,"Motivation & Belohnung: warum wir scheitern – und was hilft (ohne Moral)","motivation-und-belohnung-warum-wir-scheitern-und-was-hilft-ohne-moral","ls_beh_02_motivation",
1544,"Rückfall & Neustart: Hürden, Umgang mit Stress, Unterstützung nutzen","rueckfall-neustart-huerden-umgang-mit-stress-unterstuetzung-nutzen","ls_beh_03_rueckfall_hilfen",
1545,"Bewegung wirkt: was Ausdauer, Kraft und Alltagsschritte bringen","bewegung-wirkt-ausdauer-kraft-alltagsschritte","ls_beweg_01_grundlagen",
1546,"Sitzen & Alltag: Schritte, Pausen, Rückenfreundlichkeit – kleine Hebel","sitzen-alltag-schritte-pausen-rueckenfreundlichkeit-kleine-hebel","ls_beweg_02_alltag_sitzen",
1547,"Start ohne Frust: Muskelkater, Aufwärmen, Regeneration – Basics","start-ohne-frust-muskelkater-aufwaermen-regeneration-basics","ls_beweg_03a_muskelkater_aufwaermen",
1548,"Überlastung vermeiden: Sehnen, Gelenke, Dosierung – stufenweise steigern","ueberlastung-vermeiden-sehnen-gelenke-dosierung-stufenweise-steigern","ls_beweg_03b_ueberlastung_sehnen",
1549,"Sportverletzungen: typische Fälle, erste Schritte, wann abklären? (Orientierung)","sportverletzungen-typische-faelle-erste-schritte-wann-abklaeren-orientierung","ls_beweg_03c_sportverletzung_erste_hilfe",
1550,"Ernährung verstehen: Energie, Makros, Ballaststoffe – was im Alltag zählt","ernaehrung-verstehen-energie-makros-ballaststoffe-alltag","ls_ern_01_grundlagen",
1551,"Abnehmen & Gewicht: was evidenzbasiert wirkt – ohne Diät-Mythen","abnehmen-gewicht-evidenzbasiert-ohne-diaet-mythen","ls_ern_02_abnehmen_gewicht",
1552,"Zucker & Getränke: Softdrinks, Fruchtsaft, Süßstoffe – Einordnung","zucker-und-getraenke-softdrinks-fruchtsaft-suessstoffe-einordnung","ls_ern_03_zucker_getraenke",
1553,"Fette & Salz: Herzgesund essen – ohne Übertreibung","fette-salz-herzgesund-essen-ohne-uebertreibung","ls_ern_04_fette_salze",
1554,"Koffein verstehen: Wirkung, Abbau, warum es unterschiedlich stark wirkt","koffein-verstehen-wirkung-abbau-unterschiede","ls_koff_01_wirkung",
1555,"Koffein & Schlaf/Stress: Timing, Abendroutine, Wechselwirkungen (Orientierung)","koffein-schlaf-stress-timing-abendroutine-wechselwirkungen","ls_koff_02_schlaf_stress",
1556,"Energydrinks: Koffein, Zucker, Risiken – Einordnung (Jugendliche inkl.)","energydrinks-koffein-zucker-risiken-jugendliche","ls_koff_03_energydrinks",
1557,"Rauchen & Gesundheit: Schäden, Risiko, Passivrauch – Einordnung","rauchen-gesundheit-schaeden-risiko-passivrauch-einordnung","ls_rauch_01_grundlagen",
1558,"Aufhören: Entzug, Cravings, Strategien, Rückfall – was hilft (Orientierung)","aufhoeren-entzug-cravings-strategien-rueckfall-was-hilft-orientierung","ls_rauch_02_aufhoeren",
1559,"E-Zigaretten & Tabakerhitzer: was man (nicht) sicher weiß – Orientierung","e-zigaretten-tabakerhitzer-orientierung","ls_rauch_03_vapes_erhitzer",
1560,"Schlaf verstehen: Schlafphasen, Bedarf, warum Schlaf wichtig ist","schlaf-verstehen-schlafphasen-bedarf-warum-schlaf-wichtig-ist","ls_schlaf_01_grundlagen",
1561,"Schlafhygiene: Licht, Bildschirm, Koffein, Routine – was wirklich hilft","schlafhygiene-licht-bildschirm-koffein-routine-was-wirklich-hilft","ls_schlaf_02_schlafhygiene",
1562,"Schichtarbeit & Jetlag: Schlaf im Ausnahmemodus (Orientierung)","schichtarbeit-jetlag-schlaf-ausnahmemodus-orientierung","ls_schlaf_03_schichtarbeit_jetlag",
1563,"Stress verstehen: Körperreaktion, Symptome, wann es zu viel wird (Orientierung)","stress-verstehen-koerperreaktion-symptome-wann-es-zu-viel-wird","ls_stress_01_basis",
1564,"Entspannung & Tools: Atmung, Bewegung, Pausen, Routinen (alltagsnah)","entspannung-tools-atmung-bewegung-pausen-routinen","ls_stress_02_entspannung_tools",
1565,"Burnout & Arbeit: Warnzeichen, Abgrenzung zu Depression, nächste Schritte (Orientierung)","burnout-und-arbeit-warnzeichen-abgrenzung-depression-naechste-schritte","ls_stress_03_burnout_arbeit",
1566,"Supplements: was es ist, wann sinnvoll, wann eher Marketing (Orientierung)","supplements-was-es-ist-wann-sinnvoll-wann-eher-marketing-orientierung","ls_supp_01_grundlagen",
1567,"Vitamin D: Spiegel, Mangel, Sonne – Einordnung ohne Einnahmeempfehlung","vitamin-d-spiegel-mangel-sonne-einordnung","ls_supp_02_vitamin_d",
1568,"Omega-3, Magnesium, Zink & Co.: wofür es beworben wird – was Studien zeigen","omega-3-magnesium-zink-co-studien","ls_supp_03_omega_magnesium_co",
1569,"Angst verstehen: Symptome, Körperreaktion, wann normal – wann abklären?","angst-verstehen-symptome-koerperreaktion-wann-normal-wann-abklaeren","mh_angst_01_verstehen",
1570,"Hilfe finden: Hausarzt, Psychotherapie, Notfall – nächste Schritte (Orientierung)","hilfe-finden-hausarzt-psychotherapie-notfall-naechste-schritte","mh_angst_02_hilfewege",
1571,"Mythen & Fakten: „Reiß dich zusammen“, „Panik ist gefährlich“ – Einordnung","mythen-fakten-reiss-dich-zusammen-panik-einordnung","mh_angst_03_mythen",
1572,"Depression verstehen: Symptome, Verlauf, Abgrenzung zu „schlechter Phase“","depression-verstehen-symptome-verlauf-abgrenzung","mh_dep_01_verstehen",
1573,"Hilfe finden: Gespräch, Therapieformen, Anlaufstellen – Orientierung","hilfe-finden-gespraech-therapieformen-anlaufstellen-orientierung","mh_dep_02_hilfewege",
1574,"Erschöpfung & Burnout: Warnzeichen, Abgrenzung, nächste Schritte (Orientierung)","erschoepfung-burnout-warnzeichen-abgrenzung-naechste-schritte","mh_dep_03_erschoepfung_burnout",
1575,"ADHS verstehen: Symptome, Alltag, Abklärung (Orientierung)","adhs-verstehen-symptome-alltag-abklaerung","mh_neuro_01_adhs_verstehen",
1576,"Autismus-Spektrum verstehen: Merkmale, Missverständnisse, Abklärung","autismus-spektrum-verstehen-merkmale-missverstaendnisse-abklaerung","mh_neuro_02_autismus_verstehen",
1577,"Unterstützung finden: Abklärung, Therapieformen, Schule/Arbeit – Orientierung","unterstuetzung-finden-abklaerung-therapie-schule-arbeit-orientierung","mh_neuro_03_hilfewege",
1578,"Insomnie verstehen: Ein- und Durchschlafprobleme, typische Muster (Orientierung)","insomnie-verstehen-ein-und-durchschlafprobleme-orientierung","mh_schlaf_01_insomnie",
1579,"Was hilft? Schlafberatung, Therapieoptionen, wann abklären (Orientierung)","was-hilft-schlafberatung-therapieoptionen-wann-abklaeren-orientierung","mh_schlaf_02_hilfewege",
1580,"Schlafmittel einordnen: Nutzen, Risiken, Abhängigkeit – Orientierung","schlafmittel-einordnen-nutzen-risiken-abhaengigkeit-orientierung","mh_schlaf_03_schlafmittel_einordnung",
1581,"Sucht erkennen: Warnzeichen, Kontrollverlust, Toleranz, Entzug – Orientierung","sucht-erkennen-warnzeichen-kontrollverlust-toleranz-entzug-orientierung","mh_sucht_01_warnzeichen",
1582,"Verhaltenssüchte: Gaming, Kaufen, Sport, Internet – Einordnung & Hilfewege","verhaltenssuechte-gaming-kaufen-sport-internet-einordnung-hilfewege","mh_sucht_02_verhaltenssucht",
1583,"Hilfe bei Abhängigkeit: Anlaufstellen, Therapieoptionen, Rückfall – Orientierung","hilfe-bei-abhaengigkeit-anlaufstellen-therapieoptionen-rueckfall-orientierung","mh_sucht_03_hilfewege",
1584,"Trauma & PTBS verstehen: typische Symptome, Trigger, Verlauf (Orientierung)","trauma-ptbs-verstehen-symptome-trigger-verlauf","mh_trauma_01_verstehen",
1585,"Hilfe nach belastenden Ereignissen: Anlaufstellen, Therapieformen (Orientierung)","hilfe-nach-belastenden-ereignissen-anlaufstellen-therapieformen-orientierung","mh_trauma_02_hilfewege",
1586,"Mythen & Fakten: „Zeit heilt alles“, „Trauma muss man vergessen“ – Einordnung","mythen-fakten-zeit-heilt-alles-trauma-vergessen-einordnung","mh_trauma_03_mythen",
1587,"„Früherkennung ist immer gut“: Nutzen, Risiken, Überdiagnosen – Einordnung","frueherkennung-immer-gut-nutzen-risiken-ueberdiagnosen","myth_ca_01_frueherkennung_alles",
1588,"Tumormarker & Bluttests: was sie können – und was nicht (Orientierung)","tumormarker-bluttests-was-sie-koennen-und-was-nicht","myth_ca_02_tumormarker",
1589,"„Ernährung heilt Krebs“ & andere Heilsversprechen: Muster erkennen, einordnen","ernaehrung-heilt-krebs-heilsversprechen-einordnen","myth_ca_03_krebs_ernaehrung",
1590,"Blutdruck-Mythen: „einmal hoch = krank?“, Salz & Messfehler richtig einordnen","blutdruck-mythen-einmal-hoch-salz-messfehler","myth_cv_01_blutdruck",
1591,"Cholesterin & Fette: Butter, Eier, ""gutes/schlechtes"" Cholesterin – Einordnung","cholesterin-und-fette-einordnung","myth_cv_02_cholesterin_fette",
1592,"Herzinfarkt-Mythen: typische Fehlannahmen zu Warnzeichen (Orientierung)","herzinfarkt-mythen-typische-fehlannahmen-warnzeichen-orientierung","myth_cv_03_herzinfarkt_warnzeichen",
1593,"Diabetes-Mythen: „nur Zucker“, „selbst schuld“, „Typ 2 immer vermeidbar?“","diabetes-mythen-nur-zucker-selbst-schuld-typ-2-vermeidbar","myth_dm_01_diabetes_alltag",
1594,"Süßstoffe-Mythen: „machen dick“, „machen Diabetes“ – Evidenz einordnen","suessstoffe-mythen-machen-dick-machen-diabetes-evidenz-einordnen","myth_dm_02_suessstoffe",
1595,"Low Carb/Keto bei Diabetes: was plausibel ist – und was übertrieben wird","low-carb-keto-diabetes-plausibel-uebertrieben","myth_dm_03_keto_lowcarb",
1596,"Detox, Entgiften, „Schlacken“: was stimmt – und was nicht","detox-entgiften-schlacken-was-stimmt-und-was-nicht","myth_food_01_detox",
1597,"Zucker-Mythen: „Zuckersucht“, „Zucker macht krank“ – richtig einordnen","zucker-mythen-zuckersucht-zucker-macht-krank-richtig-einordnen","myth_food_02_zucker",
1598,"Diäten & Trends: Low Carb, Keto, Intervallfasten – Nutzen/Risiken ohne Hype","diaeten-trends-low-carb-keto-intervallfasten-nutzen-risiken-ohne-hype","myth_food_03_diaeten",
1599,"Mikrobiom-Mythen: was gesichert ist – und was Marketing ist","mikrobiom-mythen-was-gesichert-ist-und-was-marketing-ist","myth_gut_01_mikrobiom",
1600,"Gluten, Laktose & Co.: Unverträglichkeiten richtig einordnen","gluten-laktose-unvertraeglichkeiten-richtig-einordnen","myth_gut_02_gluten_laktose",
1601,"Darmreinigung & „Detox-Kuren“: typische Versprechen vs. Evidenz","darmreinigung-detox-kuren-versprechen-evidenz","myth_gut_03_entgiften_darmreinigung",
1602,"Schilddrüsen-Mythen: Unter-/Überfunktion, Jod, Symptome richtig einordnen","schilddruesen-mythen-unter-ueberfunktion-jod-symptome","myth_horm_01_schilddruese",
1603,"„Hormone machen dick“: Gewicht, Stoffwechsel & typische Fehlannahmen","hormone-machen-dick-gewicht-stoffwechsel-fehlannahmen","myth_horm_02_hormone_gewicht",
1604,"Kinderwunsch & Hormone: was häufig falsch verstanden wird (Orientierung)","kinderwunsch-hormone-haeufige-mythen-orientierung","myth_horm_03_kinderwunsch",
1605,"Antibiotika-Mythen: wann sie helfen – und wann nicht","antibiotika-mythen-wann-sie-helfen-und-wann-nicht","myth_inf_01_antibiotika",
1606,"„Natürlich ist besser“: was Naturmittel können – und wo Grenzen sind","natuerlich-ist-besser-was-naturmittel-koennen-und-wo-grenzen-sind","myth_inf_02_natur_vs_med",
1607,"Long Covid: typische Behauptungen, was belegt ist – und was nicht","long-covid-typische-behauptungen-was-belegt-ist-und-was-nicht","myth_lc_01_longcovid_behauptungen",
1608,"ME/CFS verstehen: Abgrenzung, PEM, Missverständnisse (Orientierung)","me-cfs-verstehen-abgrenzung-pem-missverstaendnisse-orientierung","myth_lc_02_mecfs_abgrenzung",
1609,"Pacing & Aktivität: häufige Fehlannahmen (keine Therapie, nur Orientierung)","pacing-aktivitaet-haeufige-fehlannahmen","myth_lc_03_pacing_aktivitaet",
1610,"Depression-Mythen: „nur schlechte Laune“, „reiß dich zusammen“ – Einordnung","depression-mythen-nur-schlechte-laune-reiss-dich-zusammen-einordnung","myth_mh_01_depression",
1611,"ADHS/Autismus-Mythen: „Mode-Diagnose“, „nur bei Kindern“ – Einordnung","adhs-autismus-mythen-mode-diagnose-nur-bei-kindern","myth_mh_02_adhs_autismus",
1612,"Angst/Panik-Mythen: „Panik ist gefährlich“, „Angst ist Schwäche“ – Einordnung","angst-panik-mythen-panik-ist-gefaehrlich-angst-ist-schwaeche","myth_mh_03_angst_panik",
1613,"Rücken & Haltung: „gerader Rücken“, „falsche Haltung macht krank“ – Einordnung","ruecken-haltung-gerader-ruecken-falsche-haltung-einordnung","myth_pain_01_ruecken_haltung",
1614,"Akuter Rückenschmerz: Schonung, Belastung, Warnzeichen – sinnvoll einordnen","akuter-rueckenschmerz-schonung-belastung-warnzeichen-einordnen","myth_pain_02a_akut_schonung_belastung",
1615,"Chronische Rückenschmerzen: Kraft, Core, Stabilität – was ist sinnvoll?","chronische-rueckenschmerzen-kraft-core-stabilitaet","myth_pain_02b1a_kraft_core_stabi",
1616,"Chronische Rückenschmerzen: Alltagsbewegung & Ausdauer – raus aus der Schonung","chronische-rueckenschmerzen-alltagsbewegung-ausdauer-raus-aus-der-schonung","myth_pain_02b1b_alltag_ausdauer_gehen",
1617,"Übungen & Programme: Rückenschule, Trainingspläne – was taugt wirklich?","uebungen-und-programme-rueckenschule-trainingsplaene-was-taugt-wirklich","myth_pain_02b1c_uebungen_programme",
1618,"Chronische Rückenschmerzen: Physio, Reha & Alltag – Umsetzung statt Schonung","chronische-rueckenschmerzen-physio-reha-alltag-umsetzung-statt-schonung","myth_pain_02b2_physio_reha_alltag",
1619,"Knacken, Dehnen, Faszien: was stimmt – und was wird übertrieben?","knacken-dehnen-faszien-was-stimmt-und-was-wird-uebertrieben","myth_pain_03_knacken_dehnen",
1620,"Sonnencreme-Mythen: „toxisch“, „Vitamin D Blockade“, „chemisch vs mineralisch“","sonnencreme-mythen-toxisch-vitamin-d-blockade-chemisch-mineralisch","myth_skin_01_sonnencreme",
1621,"Solarien-Mythen: „Vorbräunen schützt“ & andere Fehlannahmen","solarien-mythen-vorbraeunen-schuetzt","myth_skin_02_solarien",
1622,"Vitamin D & Sonne: wie viel Sonne ist sinnvoll – ohne Extreme","vitamin-d-sonne-wie-viel-sonne-sinnvoll-ohne-extreme","myth_skin_03_vitamin_d_sonne",
1623,"Vitamine & Mineralstoffe: wann sinnvoll – wann überflüssig","vitamine-mineralstoffe-wann-sinnvoll-wann-ueberfluessig","myth_sup_01_vitamine",
1624,"Wundermittel erkennen: typische Muster von Gesundheitsversprechen","wundermittel-erkennen-typische-muster-von-gesundheitsversprechen","myth_sup_02_wundermittel",
1625,"Koffein & Energy-Drinks: Mythen, Risiken, Grenzwerte","koffein-energy-drinks-mythen-risiken-grenzwerte","myth_sup_03_koffein_energydrinks",
1626,"Impf-Mythen erkennen: typische Behauptungen, wie man sie prüft","impf-mythen-erkennen-typische-behauptungen-pruefen","myth_vax_01_impfmythen",
1627,"UV & Haut: was UV-Strahlung macht, warum Sonnenbrand nicht harmlos ist","uv-und-haut-was-uv-strahlung-macht-warum-sonnenbrand-nicht-harmlos-ist","pv_haut_01_uv_basis",
1628,"Sonnenschutz im Alltag: SPF, richtig eincremen, Kleidung, Schatten (Orientierung)","sonnenschutz-im-alltag-spf-richtig-eincremen-kleidung-schatten","pv_haut_02_sonnenschutz_alltag",
1629,"Solarium & künstliche UV: Risiken, Mythen, warum „Vorbräunen“ nicht schützt","solarium-kuenstliche-uv-risiken-mythen-vorbraeunen","pv_haut_03_solarium_risiko",
1630,"Vitamin D & Sonne: wie hängt das zusammen (Orientierung ohne Supplement-Empfehlung)","vitamin-d-und-sonne-wie-haengt-das-zusammen","pv_haut_04_vitamin_d_sonne",
1631,"Impfungen verstehen: Nutzen, Risiken, Wirksamkeit – was Studien wirklich zeigen","impfungen-verstehen-nutzen-risiken-wirksamkeit-studien","pv_impf_01_grundlagen",
1632,"Impfplan Österreich: Überblick, Logik, wie man ihn liest (Orientierung)","impfplan-oesterreich-ueberblick-logik-lesen-orientierung","pv_impf_02a_impfplan_ueberblick_at",
1633,"Impfplan Österreich: Kinder & Jugendliche (Orientierung)","impfplan-oesterreich-kinder-jugendliche-orientierung","pv_impf_02b_impfplan_kinder_jugend_at",
1634,"Impfplan Österreich: Erwachsene & Senioren (Orientierung)","impfplan-oesterreich-erwachsene-senioren-orientierung","pv_impf_02c_impfplan_erwachsene_senioren_at",
1635,"Impfplan Österreich: Schwangerschaft, Stillzeit, Kinderwunsch (Orientierung)","impfplan-oesterreich-schwangerschaft-stillzeit-kinderwunsch-orientierung","pv_impf_02d_impfplan_schwangerschaft_stillzeit_at",
1636,"Indikationsimpfungen: Reise & Reisemedizin (Orientierung)","indikationsimpfungen-reise-reisemedizin-orientierung","pv_impf_02e1_reise_indikationsimpfungen_at",
1637,"Indikationsimpfungen: Beruf, Ausbildung & Exposition (Orientierung)","indikationsimpfungen-beruf-ausbildung-exposition-orientierung","pv_impf_02e2_beruf_exposition_at",
1638,"Indikationsimpfungen: Chronische Erkrankungen & Immunsuppression (Orientierung)","indikationsimpfungen-chronische-erkrankungen-immunsuppression-orientierung","pv_impf_02e3_chronisch_immun_at",
1639,"Indikationsimpfungen: Besondere Situationen & Kontaktpersonen (Orientierung)","indikationsimpfungen-besondere-situationen-kontaktpersonen-orientierung","pv_impf_02e4_besondere_situationen_kontakte_at",
1640,"Auffrischungen & Impfschutz: Titer, Intervalle, was Begriffe bedeuten","auffrischungen-impfschutz-titer-intervalle-begriffe","pv_impf_03_auffrischung",
1641,"Wichtige Impfungen im Überblick: MMR, HPV, Influenza, FSME, Pneumokokken (Einordnung)","wichtige-impfungen-im-ueberblick-mmr-hpv-influenza-fsme-pneumokokken","pv_impf_04_spezifische_impfungen",
1642,"Mythen vs. Fakten bei Impfungen: häufige Behauptungen – was davon stimmt","mythen-vs-fakten-impfungen","pv_impf_05_mythen_fakten",
1643,"Krebsfrüherkennung verstehen: Nutzen, Risiken, falsch-positive Befunde, Überdiagnose (Orientierung)","krebsfrueherkennung-verstehen-nutzen-risiken-ueberdiagnose","pv_krebs_01_screening_grundlagen",
1644,"Darmkrebs-Früherkennung: Stuhltest, Koloskopie, Intervalle – was die Tests leisten (Orientierung)","darmkrebs-frueherkennung-stuhltest-koloskopie-intervalle-orientierung","pv_krebs_02_darmkrebs",
1645,"Mammographie-Screening: Brustkrebs-Früherkennung, Nutzen/Risiko, was Ergebnisse bedeuten (Orientierung)","mammographie-screening-brustkrebs-frueherkennung-nutzen-risiken-orientierung","pv_krebs_03_brustkrebs_mammographie",
1646,"Gebärmutterhals-Früherkennung: Pap-Test, HPV-Test, Ergebnisse einordnen (Orientierung)","gebaermutterhals-frueherkennung-pap-test-hpv-test-ergebnisse-einordnen","pv_krebs_04_zervix_hpv",
1647,"Prostata & PSA: Früherkennung, was der PSA-Test kann (und was nicht) – Orientierung","prostata-psa-frueherkennung-orientierung","pv_krebs_05_prostata_psa",
1648,"Hautkrebs vorbeugen: UV, Sonnenschutz, Solarium, Warnzeichen (Orientierung)","hautkrebs-vorbeugen-uv-sonnenschutz-solarium-warnzeichen","pv_krebs_06_haut_uv_sonnenschutz",
1649,"Vorsorge bei Kindern & Jugendlichen: Untersuchungen, Entwicklung, wann abklären?","vorsorge-kinder-jugendliche-untersuchungen-entwicklung-wann-abklaeren","pv_life_01_kind_vorsorge",
1650,"Schwangerschaft & pränatale Untersuchungen: Ultraschall, Tests, Einordnung (ohne Empfehlung)","schwangerschaft-praenatale-untersuchungen-ultraschall-tests-einordnung","pv_life_02_schwangerschaft_praenatal",
1651,"Frauen- & Männergesundheit in der Vorsorge: typische Untersuchungen & Orientierung","frauen-maennergesundheit-vorsorge-untersuchungen-orientierung","pv_life_03_frauen_maenner_vorsorge",
1652,"Vorsorge im Alter: Sturzrisiko, Osteoporose, Impfungen, Alltagsrisiken","vorsorge-im-alter-impfungen-alltag","pv_life_04_senioren_sturz_osteoporose",
1653,"Befunde & Fragenkatalog: Wie du Untersuchungsergebnisse einordnest (ohne Therapieempfehlung)","befunde-fragenkatalog-untersuchungsergebnisse-einordnen","pv_life_05_befunde_fragen_orientierung",
1654,"Schlafapnoe verstehen: was es ist, warum es relevant ist (Orientierung)","schlafapnoe-verstehen-orientierung","pv_schlafapnoe_01_basis",
1655,"Risikofragebögen: STOP-BANG, Epworth & Co. – was sie leisten (und was nicht)","risikofrageboegen-stop-bang-epworth-was-sie-leisten-und-was-nicht","pv_schlafapnoe_02_risiko_frageboegen",
1656,"Abklärung & Diagnostik: Schlaflabor, Polygraphie/Polysomnographie, Ablauf verstehen","abklaerung-diagnostik-schlaflabor-polygraphie-polysomnographie","pv_schlafapnoe_03_abklaerung_diagnostik",
1657,"Alltagssignale & nächste Schritte: wann ärztlich abklären, wie Gespräch vorbereiten","alltagssignale-naechste-schritte-aerztlich-abklaeren-gespraech-vorbereiten","pv_schlafapnoe_04_alltag_signale",
1658,"Früherkennung & Screening verstehen: Was wird gesucht – und warum?","frueherkennung-und-screening-verstehen-was-wird-gesucht-und-warum","pv_scr_01_grundlagen",
1659,"Nutzen und Risiken von Screening: falsch-positiv, falsch-negativ, Überdiagnose","nutzen-und-risiken-von-screening","pv_scr_02_nutzen_risiken",
1660,"Wichtige Früherkennungen im Überblick: Darm, Brust, Gebärmutterhals, Haut (Einordnung)","wichtige-frueherkennungen-darm-brust-gebaermutterhals-haut-einordnung","pv_scr_03_krebs_screenings",
1661,"Befunde nach Screening: Was bedeutet „auffällig“ – und was passiert dann typischerweise?","befunde-nach-screening-auffaellig-bedeutung-naechste-schritte","pv_scr_04_befunde_und_naechste_schritte",
1662,"Entscheidungen rund um Screening: Fragen, die helfen (ohne Empfehlung)","entscheidungen-rund-um-screening-fragen-die-helfen-ohne-empfehlung","pv_scr_05_entscheidungsorientierung",
1663,"STI verstehen: welche Infektionen es gibt, Übertragung, was häufig ist (Orientierung)","sti-verstehen-ueberblick-infektionen-uebertragung-haeufigkeit","pv_sti_01_basis",
1664,"Symptome & typische Verläufe: wann abklären lassen (Orientierung, keine Diagnose)","symptome-typische-verlaeufe-wann-abklaeren-lassen-orientierung-keine-diagnose","pv_sti_02_symptome_abgrenzung",
1665,"Tests & Screening: welche Tests es gibt, wann sinnvoll, Fensterzeiten (Orientierung)","tests-und-screening-welche-tests-wann-sinnvoll-fensterzeiten","pv_sti_03_tests_screening",
1666,"Prävention: Kondome, Safer Sex, Kommunikation, Risiko reduzieren (ohne Moral)","praevention-kondome-safer-sex-kommunikation-risiko-reduzieren","pv_sti_04_praevention",
1667,"Vorsorge verstehen: Was sie kann (und was nicht) – Nutzen, Risiken, Häufigkeit","vorsorge-verstehen-nutzen-risiken-haeufigkeit","pv_vorsorge_01_grundlagen",
1668,"Die Vorsorgeuntersuchung in Österreich: Ablauf, Inhalte, Vorbereitung","vorsorgeuntersuchung-oesterreich-ablauf-inhalte-vorbereitung","pv_vorsorge_02_vorsorgeuntersuchung_at",
1669,"Krebs-Früherkennung: Welche Screenings es gibt – und für wen","krebs-frueherkennung-screenings-fuer-wen","pv_vorsorge_03_krebs_screenings",
1670,"Herz-Kreislauf-Risiko & Checks: Blutdruck, Blutfette, Diabetes-Risiko sinnvoll einordnen","herz-kreislauf-risiko-checks-blutdruck-blutfette-diabetes","pv_vorsorge_04_herz_risiko_checks",
1671,"Entscheiden bei Vorsorge: Fragen an Ärztin/Arzt, Befunde verstehen, Zweitmeinung","entscheiden-bei-vorsorge-fragen-befunde-zweitmeinung","pv_vorsorge_05_entscheidungen",
